"filename", "language", "assembly(DOS)", "comment", "blank", "total"
"/Users/yangluchao/Documents/GitHub/asm/book/t5/a.asm", "assembly(DOS)", 18, 4, 0, 22
"/Users/yangluchao/Documents/GitHub/asm/book/t5/t5-1.asm", "assembly(DOS)", 23, 4, 0, 27
"/Users/yangluchao/Documents/GitHub/asm/book/t6/STRCMP.asm", "assembly(DOS)", 18, 6, 0, 24
"/Users/yangluchao/Documents/GitHub/asm/book/t6/STRLEN.asm", "assembly(DOS)", 14, 5, 0, 19
"/Users/yangluchao/Documents/GitHub/asm/book/t6/STRLWR.asm", "assembly(DOS)", 17, 4, 0, 21
"/Users/yangluchao/Documents/GitHub/asm/process/isEnglesh.asm", "assembly(DOS)", 0, 2, 0, 2
"/Users/yangluchao/Documents/GitHub/asm/process/isUp.asm", "assembly(DOS)", 0, 2, 0, 2
"/Users/yangluchao/Documents/GitHub/asm/work_13/new_int.asm", "assembly(DOS)", 1, 6, 2, 9
"/Users/yangluchao/Documents/GitHub/asm/work_13/not_16h.asm", "assembly(DOS)", 1, 0, 0, 1
"/Users/yangluchao/Documents/GitHub/asm/work_13/putch2.asm", "assembly(DOS)", 21, 4, 0, 25
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_10.asm", "assembly(DOS)", 95, 25, 3, 123
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_5.asm", "assembly(DOS)", 0, 1, 0, 1
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_6.asm", "assembly(DOS)", 34, 7, 0, 41
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_7.asm", "assembly(DOS)", 34, 5, 2, 41
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_8.asm", "assembly(DOS)", 37, 3, 2, 42
"/Users/yangluchao/Documents/GitHub/asm/work_13/work_9.asm", "assembly(DOS)", 9, 1, 0, 10
"Total", "-", 322, 79, 9, 410
