"filename", "language", "assembly(DOS)", "comment", "blank", "total"
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_2.asm", "assembly(DOS)", 18, 4, 3, 25
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_3.asm", "assembly(DOS)", 20, 4, 4, 28
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_4.asm", "assembly(DOS)", 22, 3, 3, 28
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_5.asm", "assembly(DOS)", 11, 4, 4, 19
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_6.asm", "assembly(DOS)", 21, 3, 3, 27
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_7.asm", "assembly(DOS)", 20, 3, 2, 25
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_8.asm", "assembly(DOS)", 31, 4, 1, 36
"/Users/yangluchao/Documents/GitHub/asm/work_17/work_9.asm", "assembly(DOS)", 13, 4, 2, 19
"/Users/yangluchao/Documents/GitHub/asm/work_18/work_1.asm", "assembly(DOS)", 17, 4, 3, 24
"/Users/yangluchao/Documents/GitHub/asm/work_18/work_3.asm", "assembly(DOS)", 20, 4, 2, 26
"/Users/yangluchao/Documents/GitHub/asm/work_18/work_4.asm", "assembly(DOS)", 27, 4, 1, 32
"/Users/yangluchao/Documents/GitHub/asm/work_18/work_5.asm", "assembly(DOS)", 35, 13, 4, 52
"/Users/yangluchao/Documents/GitHub/asm/work_18/work_6.asm", "assembly(DOS)", 11, 3, 4, 18
"Total", "-", 266, 57, 36, 359
